,SIC,state_of_INC
559,1311,DE
560,4841,NY
561,3576,DE
562,3576,DE
563,3714,FL
564,3714,FL
565,3690,PA
566,2836,DE
567,8742,CO
568,2835,DE
569,2835,DE
570,7373,MA
571,7373,MA
572,6311,0
573,2024,VA
574,2024,VA
575,2834,DE
576,3679,NY
577,7350,IL
578,4412,0
579,3690,UT
580,2330,DE
581,1311,NV
582,1311,NV
583,7372,DE
584,7371,DE
585,8731,DE
586,6510,DE
587,7373,DE
588,1311,TX
589,7389,DE
590,7389,VA
591,3690,DE
592,3690,DE
593,3690,DE
594,3690,DE
595,3845,DE
596,4512,DE
597,7372,DE
598,7372,DE
599,2834,DE
600,7370,DE
601,7381,DE
602,5812,MN
603,7363,NY
604,5961,DE
605,1311,NV
606,1311,NV
607,2090,DE
608,6211,VA
609,6035,FL
610,3826,OR
611,6153,DE
612,5500,DE
613,3357,NV
614,4813,DE
615,4813,DE
616,4813,DE
617,5812,DE
618,6153,DE
619,7374,DE
620,4812,DE
621,4812,DE
622,3724,DE
623,6035,IN
624,6022,DE
625,6021,FL
626,6021,FL
627,6021,FL
628,6021,FL
629,6324,DE
630,6035,OH
631,6022,MT
632,6141,TX
633,6021,SC
634,2860,DE
635,6022,KY
636,6361,ME
637,3844,DE
638,4833,WA
639,8051,MD
640,4813,0
641,4813,0
642,6331,N4
643,2834,0
644,2834,0
645,3564,NC
646,3716,DE
647,7372,DE
648,3569,WA
649,6211,DE
650,3086,DE
651,3086,DE
652,4812,DE
653,4812,DE
654,7311,E9
655,5090,0
656,2834,DE
657,6512,OH
658,7373,DE
659,1520,DE
660,6282,DE
661,3990,NV
662,7819,DE
663,7819,DE
664,7011,0
665,7011,0
666,5812,DE
667,3825,DE
668,5944,DE
669,7389,DE
670,7389,DE
671,2834,DE
672,5812,DE
673,5812,DE
674,3357,NV
675,2860,DE
676,6500,DE
677,6500,DE
678,7812,CO
679,6331,TX
680,5940,IN
681,1311,DE
682,3571,DE
683,7830,DE
684,5961,MA
685,3523,WI
686,3523,WI
687,2836,DE
688,2836,DE
689,3531,DE
690,2835,DE
691,3661,DE
692,7361,IL
693,7359,DE
694,4412,1T
695,3312,0
696,8071,0
697,7371,DE
698,5912,DE
699,2836,DE
700,7372,DE
701,7372,DE
702,2800,DE
703,6311,DE
704,4899,DE
705,3751,NV
706,7330,DE
707,6035,DE
708,8700,DE
709,3674,DE
710,3841,0
711,6022,OH
712,3541,DE
713,4581,AZ
714,4581,AZ
715,4581,AZ
716,7389,NV
717,0100,DE
718,1389,LA
719,4899,0
720,3578,DE
721,6311,DE
722,4412,1T
723,4813,DE
724,7372,FL
725,7372,FL
726,7372,FL
727,1311,OK
728,1040,A0
729,2731,DE
730,1040,CO
731,1040,NV
732,2834,MD
733,5900,DE
734,5900,DE
735,1311,DE
736,5651,TN
737,8200,DE
738,3579,NV
739,3620,DE
740,5047,DE
741,7389,M5
742,4512,IA
743,7011,DE
744,7011,DE
745,7011,DE
746,7011,DE
747,7011,DE
748,7389,DE
749,6021,SC
750,6021,SC
751,1311,CO
752,5900,MN
753,4833,0
754,7372,DE
755,7372,DE
756,2836,MA
757,5045,DE
758,6022,DE
759,1311,0
760,1382,NV
761,1382,NV
762,1382,NV
763,7320,DE
764,4955,DE
765,7200,MO
766,2320,NV
767,2000,DE
768,1220,CO
769,0,0
770,2836,DE
771,2253,DE
772,5940,DE
773,5099,MI
774,5099,MI
